Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Wheat,2018,Zaid,State9,75.26,7054.08,1357.8,317.18,41.02,10.34
Sorghum,2009,Rabi,State20,232.95,9957.15,1011.58,115.88,20.69,33.51
Maize,2005,Kharif,State1,168.38,9271.85,664.62,499.38,15.55,24.24
Maize,2016,Kharif,State19,133.66,831.08,1414.51,447.89,43.85,11.89
Wheat,2017,Kharif,State5,314.45,2474.76,1395.2,191.77,45.11,11.23
Wheat,2010,Rabi,State9,93.47,4302.59,507.32,482.87,6.7,47.92
Maize,2013,Whole Year,State11,322.63,7020.87,447.3,155.3,22.91,38.15
Barley,2002,Zaid,State13,153.15,8282.91,773.36,60.14,32.09,43.27
Sorghum,2009,Whole Year,State3,110.07,788.45,381.01,207.19,19.09,13.5
Rice,2000,Kharif,State6,191.43,498.05,1424.63,53.69,44.2,17.62
Sorghum,2015,Zaid,State7,499.65,5431.06,811.16,368.5,41.97,35.29
Wheat,2010,Kharif,State5,180.4,8473.49,668.89,165.95,23.87,16.2
Barley,2005,Whole Year,State19,454.58,9160.25,1770.72,118.34,15.44,17.82
Wheat,2008,Kharif,State12,338.77,7044.18,1249.53,219.54,44.79,32.24
Maize,2003,Zaid,State18,111.22,1167.4,382.18,460.87,21.36,36.62
Barley,2016,Zaid,State9,103.97,7097.09,1245.01,421.42,21.92,48.64
Maize,2000,Whole Year,State9,451.33,7462.98,1236.11,452.16,37.88,16.31
Sorghum,2016,Kharif,State15,419.1,4956.08,577.18,353.28,33.63,30.36
Sorghum,2018,Kharif,State8,383.46,5969.68,1260.16,362.39,26.17,47.63
Barley,2005,Whole Year,State20,484.7,9243.08,1897.85,103.78,49.76,20.0
Rice,2005,Whole Year,State16,143.99,544.9,586.3,58.95,16.91,45.08
Maize,2004,Whole Year,State15,134.14,4104.88,888.9,243.51,11.57,14.11
Wheat,2002,Whole Year,State4,195.91,2369.49,1659.67,83.94,16.63,7.63
Wheat,2008,Zaid,State12,336.74,1830.69,1060.81,108.02,41.41,33.55
Sorghum,2016,Kharif,State5,108.15,2083.56,894.43,290.65,39.89,15.09
Rice,2015,Kharif,State11,339.17,7900.2,1895.14,264.38,49.3,43.69
Barley,2000,Rabi,State18,394.89,9974.44,1364.14,163.34,49.15,30.78
Maize,2018,Zaid,State12,341.17,9710.8,399.12,377.22,31.62,28.22
Barley,2004,Kharif,State4,391.75,3714.32,1938.74,330.44,9.22,14.56
Sorghum,2015,Rabi,State10,338.11,4161.01,1620.64,380.87,29.5,7.56
Sorghum,2002,Whole Year,State11,194.17,2920.45,505.62,446.9,23.79,27.69
Sorghum,2002,Whole Year,State20,171.59,1583.99,752.82,356.34,20.73,43.43
Barley,2012,Whole Year,State19,141.91,1567.55,898.96,401.19,33.92,24.37
Rice,2004,Zaid,State19,254.68,6553.73,336.94,443.05,43.3,35.84
Barley,2011,Zaid,State20,275.21,3410.71,1794.89,102.44,49.66,10.2
Rice,2007,Rabi,State10,370.09,4742.92,823.6,338.24,24.78,10.21
Maize,2014,Whole Year,State1,85.09,7076.11,1397.69,311.66,34.75,24.95
Wheat,2003,Rabi,State14,91.34,5787.78,1609.41,304.28,9.19,4.21
Wheat,2010,Zaid,State8,297.22,4678.52,622.1,59.13,34.35,31.19
Rice,2013,Zaid,State4,261.32,7116.56,1867.56,153.88,27.92,45.08
Wheat,2008,Rabi,State8,421.12,1498.37,1609.73,123.66,31.18,38.05
Sorghum,2007,Rabi,State16,161.3,5359.14,398.46,261.41,13.67,8.07
Sorghum,2020,Kharif,State2,78.08,411.13,919.03,158.34,49.13,25.3
Rice,2003,Kharif,State18,486.47,7088.18,1393.26,456.79,11.78,34.56
Barley,2004,Zaid,State9,58.26,3335.22,1008.36,265.99,7.75,9.01
Rice,2011,Kharif,State11,185.49,7696.77,323.44,56.48,31.93,25.5
Wheat,2011,Kharif,State6,407.26,5380.05,1007.54,207.67,32.55,45.54
Sorghum,2000,Whole Year,State12,216.6,1471.02,1968.8,438.02,41.13,8.0
Sorghum,2010,Zaid,State4,213.85,7965.77,1881.46,235.04,23.72,35.24
Maize,2019,Kharif,State9,309.94,1156.13,445.5,309.44,35.45,24.42
Maize,2004,Zaid,State13,128.33,1431.32,1019.5,155.54,32.24,9.36
Sorghum,2010,Kharif,State17,334.22,6872.22,1080.33,372.83,34.95,9.99
Barley,2014,Rabi,State7,59.26,8034.43,722.6,424.66,31.75,8.46
Rice,2013,Whole Year,State4,416.49,2302.58,1985.27,397.64,17.1,36.07
Barley,2008,Rabi,State16,476.14,9252.06,1063.69,333.86,37.99,3.32
Wheat,2003,Whole Year,State12,155.73,4774.04,1292.78,440.42,34.1,36.76
Wheat,2007,Rabi,State11,153.59,3599.61,1032.62,253.78,49.44,5.71
Wheat,2013,Zaid,State17,154.19,7830.37,1564.75,138.3,41.15,27.19
Rice,2015,Zaid,State10,64.57,397.53,504.55,295.84,27.66,37.39
Sorghum,2011,Zaid,State7,406.07,4062.42,1317.08,223.01,26.54,39.26
Barley,2011,Kharif,State8,491.88,2394.75,714.19,395.52,18.34,20.12
Barley,2003,Kharif,State14,133.76,9323.85,609.68,412.36,40.41,26.48
Maize,2000,Whole Year,State13,252.41,8189.69,1640.62,197.6,8.77,37.28
Sorghum,2004,Rabi,State4,428.41,1245.61,1175.2,383.49,13.72,40.14
Wheat,2001,Zaid,State3,251.08,6496.86,919.8,64.81,6.96,36.87
Maize,2000,Zaid,State5,370.79,4116.11,970.32,362.96,12.35,43.06
Sorghum,2013,Kharif,State3,439.19,2662.84,375.92,399.69,24.4,9.11
Rice,2001,Kharif,State10,493.59,746.31,1438.3,369.52,31.5,47.74
Rice,2019,Whole Year,State6,269.36,2893.73,604.33,254.66,29.32,48.77
Rice,2014,Zaid,State8,66.93,6722.99,1959.72,364.78,12.56,47.96
Sorghum,2015,Whole Year,State15,393.04,9281.38,548.01,214.18,27.36,12.12
Sorghum,2015,Rabi,State6,268.57,973.09,1092.34,186.94,5.08,46.0
Barley,2010,Kharif,State19,82.33,5823.33,1366.07,264.36,31.82,29.97
Maize,2014,Rabi,State10,94.87,6451.12,1998.14,103.27,18.13,2.49
Maize,2013,Zaid,State15,331.37,8935.05,1422.21,467.25,38.05,13.67
Rice,2004,Whole Year,State5,392.58,5728.21,667.09,438.74,49.02,46.65
Rice,2007,Zaid,State16,173.72,945.33,1481.67,204.27,28.68,2.35
Wheat,2002,Rabi,State14,357.89,7581.03,306.93,455.57,42.32,43.69
Barley,2003,Rabi,State18,211.5,215.15,312.07,158.83,41.06,2.42
Barley,2018,Kharif,State18,199.73,3837.84,1241.06,336.7,28.06,19.56
Wheat,2002,Whole Year,State15,200.23,9599.96,1285.53,188.65,33.28,43.67
Sorghum,2007,Zaid,State12,439.81,9766.5,944.35,216.3,42.45,47.01
Sorghum,2001,Rabi,State5,95.88,5880.71,563.23,292.71,46.02,2.18
Rice,2018,Zaid,State19,142.0,9664.8,940.47,256.46,46.69,39.86
Rice,2020,Rabi,State19,296.33,5776.19,1540.75,297.39,49.64,49.84
Barley,2019,Rabi,State7,442.56,1301.81,1455.0,455.82,47.21,23.37
Barley,2006,Kharif,State10,360.98,7667.64,1095.29,328.7,7.93,13.76
Maize,2016,Whole Year,State3,139.94,9480.46,869.01,429.72,12.69,46.78
Barley,2013,Zaid,State15,463.21,8152.87,1124.26,311.26,38.59,17.81
Barley,2018,Whole Year,State2,329.11,3491.62,1635.56,304.58,30.94,40.86
Maize,2000,Kharif,State16,120.93,8732.24,1235.39,184.81,25.94,5.25
Wheat,2018,Whole Year,State1,248.29,1800.49,1495.99,380.92,49.07,2.77
Sorghum,2018,Rabi,State12,329.02,9617.18,1875.97,487.67,46.71,7.35
Maize,2006,Kharif,State10,452.32,3076.83,450.88,294.62,35.7,2.11
Maize,2001,Whole Year,State13,340.24,6870.47,1287.94,461.29,16.52,3.3
Wheat,2005,Zaid,State6,74.72,2096.36,1350.92,452.7,7.85,21.24
Barley,2012,Zaid,State6,111.28,9120.78,1380.73,64.83,33.42,13.81
Barley,2003,Zaid,State3,272.46,8877.13,782.38,81.05,40.41,9.85
Wheat,2019,Kharif,State5,431.84,2586.77,1738.34,203.8,39.43,36.03
Barley,2001,Whole Year,State13,32.39,7772.44,1258.13,472.68,38.65,21.82
Wheat,2013,Rabi,State16,477.68,731.39,518.14,199.1,12.97,48.71
Sorghum,2006,Kharif,State19,143.91,2696.96,506.65,293.62,38.29,34.5
Maize,2003,Kharif,State12,43.46,3693.61,1295.27,386.7,5.1,26.49
Wheat,2001,Rabi,State7,97.04,8806.07,1053.25,96.02,33.08,39.21
Barley,2004,Kharif,State12,316.49,5736.47,895.14,111.23,49.13,18.79
Barley,2000,Zaid,State3,154.86,4731.63,1491.1,462.06,39.16,6.29
Maize,2012,Rabi,State9,438.22,9072.72,972.12,379.07,43.49,45.8
Maize,2020,Zaid,State17,328.52,5125.94,1058.31,325.77,39.38,19.47
Barley,2001,Whole Year,State15,322.39,1341.67,1480.95,437.21,16.38,11.52
Barley,2002,Kharif,State7,350.62,4526.5,1706.18,124.01,31.91,37.57
Barley,2018,Whole Year,State10,298.56,7371.71,1749.63,70.04,36.06,35.18
Wheat,2010,Zaid,State5,206.72,8768.07,921.93,102.48,30.34,4.33
Rice,2017,Rabi,State8,209.47,4723.6,437.63,233.92,39.7,37.73
Maize,2015,Zaid,State1,335.84,8020.89,1749.57,118.17,21.9,16.51
Maize,2017,Whole Year,State15,400.89,5299.54,643.53,360.79,46.84,42.79
Barley,2014,Kharif,State2,343.76,4214.89,1142.94,262.94,39.96,19.24
Sorghum,2020,Rabi,State17,269.47,5900.9,1817.84,450.3,26.33,35.17
Maize,2001,Zaid,State19,80.15,9261.23,1913.15,310.75,12.16,10.4
Sorghum,2005,Whole Year,State12,497.65,739.83,499.47,446.97,16.98,25.84
Maize,2018,Whole Year,State11,461.69,7251.69,1980.97,73.03,20.28,43.89
Maize,2018,Rabi,State4,120.83,7855.07,450.78,223.29,16.07,34.82
Sorghum,2006,Kharif,State4,361.86,7089.0,1448.88,219.36,44.06,14.01
Sorghum,2018,Kharif,State15,152.69,8301.11,1115.71,331.28,47.75,38.96
Barley,2013,Kharif,State3,343.02,5759.46,972.97,338.93,44.22,36.64
Rice,2005,Rabi,State12,308.23,7897.3,356.89,266.06,15.88,27.62
Rice,2012,Rabi,State11,224.13,8510.88,804.41,393.98,44.38,2.68
Sorghum,2014,Kharif,State12,364.33,9522.39,1021.53,343.94,21.28,8.41
Rice,2003,Kharif,State12,462.48,8451.16,1079.11,57.0,27.26,11.91
Rice,2016,Zaid,State3,211.83,3813.44,1598.73,228.38,43.26,35.14
Wheat,2003,Whole Year,State2,236.48,5426.72,900.22,497.98,34.87,7.85
Wheat,2020,Zaid,State10,33.4,8018.45,1538.27,390.08,23.66,41.51
Wheat,2011,Kharif,State14,267.76,7334.77,1905.32,241.5,20.27,12.73
Maize,2002,Rabi,State17,436.6,438.95,509.87,320.21,13.92,31.33
Rice,2018,Rabi,State13,231.24,8588.21,1174.29,51.71,28.05,6.78
Barley,2004,Kharif,State9,497.14,2379.58,981.93,216.05,40.77,19.65
Barley,2018,Rabi,State6,434.25,5788.64,492.33,437.72,6.84,17.7
Sorghum,2017,Rabi,State16,273.53,746.06,1805.46,108.76,24.03,7.81
Rice,2019,Rabi,State15,411.59,3001.37,495.43,188.52,19.43,19.55
Rice,2015,Kharif,State12,76.72,8979.95,1563.24,88.01,21.83,46.83
Maize,2012,Zaid,State17,210.72,8926.19,424.04,373.14,36.62,40.07
Wheat,2002,Whole Year,State13,190.58,1249.92,1604.65,346.4,43.23,38.72
Barley,2002,Whole Year,State7,206.02,4902.08,756.58,456.45,5.72,6.69
Rice,2004,Rabi,State15,18.84,8001.03,704.95,193.01,41.56,35.62
Barley,2018,Kharif,State9,170.4,9852.95,1787.23,238.89,31.41,31.72
Maize,2007,Rabi,State5,191.76,5814.96,1689.34,160.8,5.49,17.88
Sorghum,2010,Zaid,State11,169.81,1806.03,839.77,68.95,48.44,39.2
Sorghum,2000,Zaid,State8,18.74,7268.93,1810.1,379.47,8.65,39.36
Maize,2006,Kharif,State15,308.08,8995.21,651.6,263.99,47.16,33.3
Sorghum,2007,Rabi,State14,240.1,6222.46,750.07,456.46,26.28,29.36
Rice,2014,Whole Year,State19,222.53,7137.99,1605.41,353.19,41.56,6.17
Wheat,2019,Kharif,State6,119.61,2903.76,427.24,461.01,35.31,10.18
Wheat,2002,Zaid,State16,461.49,6272.68,976.06,297.08,40.29,41.42
Wheat,2009,Whole Year,State19,409.32,8204.75,709.49,229.15,44.79,8.07
Sorghum,2014,Kharif,State6,254.09,931.59,1655.92,121.13,17.82,21.54
Wheat,2014,Rabi,State3,162.85,4110.6,486.01,278.14,34.53,29.27
Wheat,2014,Kharif,State14,20.5,3472.07,1591.0,210.24,19.02,33.37
Sorghum,2013,Zaid,State8,498.33,805.81,840.97,161.96,14.49,49.98
Rice,2005,Whole Year,State17,269.46,2877.68,1985.05,340.47,28.77,11.91
Rice,2006,Whole Year,State16,80.62,8912.46,878.69,374.94,45.6,22.46
Barley,2017,Rabi,State6,296.23,3845.35,1295.84,103.27,7.1,23.65
Barley,2016,Rabi,State18,359.55,8165.17,434.43,93.5,24.71,3.06
Rice,2014,Kharif,State6,363.42,408.04,1183.76,297.21,8.86,27.7
Sorghum,2008,Rabi,State4,195.58,2017.64,731.05,64.96,31.0,14.34
Barley,2013,Kharif,State20,22.73,7688.79,1555.48,146.9,34.08,37.61
Rice,2017,Whole Year,State3,69.41,1804.17,358.83,367.15,14.74,5.96
Maize,2017,Whole Year,State6,447.13,4575.58,791.23,169.66,21.32,24.03
Maize,2002,Whole Year,State9,16.66,5686.38,997.19,377.1,29.4,32.68
Wheat,2016,Whole Year,State9,49.83,622.66,1268.53,108.71,40.56,4.55
Rice,2012,Zaid,State14,366.27,6897.46,1031.11,348.16,49.45,45.36
Rice,2005,Kharif,State19,314.15,8366.96,1283.46,283.75,33.57,41.41
Rice,2007,Kharif,State2,117.32,9185.26,1894.47,360.01,10.47,34.63
Barley,2001,Kharif,State19,331.39,4435.95,1941.44,297.58,18.24,33.5
Rice,2002,Kharif,State11,262.73,4512.34,1156.93,350.41,18.64,11.54
Sorghum,2017,Zaid,State20,172.49,5895.29,1417.35,243.9,45.89,47.68
Wheat,2005,Zaid,State10,244.16,7883.21,1737.46,360.15,23.83,19.58
Maize,2005,Zaid,State6,487.3,4285.31,1037.16,78.9,19.31,34.91
Wheat,2005,Whole Year,State2,450.39,4497.8,1665.48,359.7,26.8,29.72
Sorghum,2002,Zaid,State12,13.93,1263.05,702.75,338.56,19.89,42.95
Sorghum,2012,Zaid,State13,421.51,4371.85,531.44,349.92,17.41,22.78
Wheat,2013,Kharif,State8,305.6,2946.39,1038.15,185.9,39.58,46.12
Sorghum,2009,Rabi,State20,274.91,9570.01,1577.4,395.41,20.22,18.24
Wheat,2014,Zaid,State5,479.23,9562.73,785.47,203.97,30.77,18.42
Rice,2018,Zaid,State2,345.45,2228.9,982.36,161.74,27.45,17.67
Maize,2010,Kharif,State7,413.42,9235.71,1244.21,200.41,38.64,24.72
Rice,2015,Rabi,State9,98.35,9154.63,1036.88,175.01,19.16,49.3
Wheat,2019,Kharif,State17,496.54,4103.23,1378.01,380.64,39.6,24.1
Barley,2000,Zaid,State2,480.35,1449.13,1523.68,318.55,17.69,38.5
Maize,2017,Whole Year,State12,372.55,8928.6,1062.99,391.59,21.95,24.87
Barley,2011,Rabi,State12,416.86,715.07,441.21,427.09,30.95,46.34
Maize,2000,Zaid,State7,222.39,8304.85,883.62,65.68,48.06,5.5
Barley,2020,Rabi,State20,482.33,8326.62,570.8,482.49,35.21,48.75
Barley,2018,Whole Year,State5,183.12,2528.9,1874.52,455.11,7.4,25.57
Wheat,2014,Kharif,State6,206.86,7265.28,1134.53,118.27,26.67,29.69
Barley,2004,Zaid,State9,100.78,7067.06,612.8,232.0,46.64,3.12
Sorghum,2008,Whole Year,State7,283.15,8275.26,1127.75,470.28,49.28,33.04
Wheat,2004,Zaid,State2,16.72,6979.72,406.25,308.87,45.4,31.57
Barley,2004,Rabi,State20,412.29,2376.65,1657.43,428.66,36.8,12.4
Sorghum,2006,Rabi,State8,106.57,7366.97,1450.31,343.88,30.29,45.87
Rice,2007,Kharif,State14,495.3,4741.82,570.9,404.0,32.66,42.32
Rice,2014,Zaid,State17,251.13,7184.84,1878.07,460.93,29.79,31.58
Wheat,2014,Rabi,State7,241.28,1052.48,1702.38,465.76,25.67,20.95
Maize,2016,Zaid,State12,375.76,563.12,1702.87,349.29,7.07,47.11
Barley,2018,Whole Year,State10,98.93,4724.76,1374.76,200.93,13.92,13.13
Barley,2010,Rabi,State14,404.53,5352.85,1869.2,384.53,23.96,22.31
Sorghum,2013,Rabi,State20,115.2,4710.55,1561.93,327.26,17.99,22.44
Sorghum,2012,Rabi,State8,112.69,7956.52,1162.46,276.62,32.61,17.71
Rice,2015,Kharif,State10,61.39,9441.88,680.21,404.32,21.89,39.89
Sorghum,2018,Kharif,State1,409.27,5063.79,1099.0,421.77,9.84,42.33
Wheat,2006,Rabi,State16,139.49,2123.62,1483.59,474.68,9.89,37.98
Maize,2017,Rabi,State8,242.2,2262.21,409.56,421.22,43.6,13.86
Rice,2013,Kharif,State5,199.02,8437.72,1324.36,247.17,14.42,8.25
Barley,2004,Zaid,State1,394.49,3998.0,1783.9,319.61,27.35,24.49
Barley,2008,Zaid,State4,257.66,1815.87,628.38,305.14,26.61,46.35
Wheat,2010,Whole Year,State17,317.95,2283.49,1112.0,237.33,13.72,34.27
Wheat,2004,Zaid,State16,240.33,9307.62,1725.05,328.02,40.16,30.45
Rice,2007,Whole Year,State2,494.82,3385.48,1456.59,115.05,8.74,32.0
Maize,2016,Rabi,State11,212.04,7067.01,1116.84,63.42,8.67,5.47
Rice,2016,Rabi,State7,38.12,6212.75,1232.85,480.88,22.67,13.79
Wheat,2011,Kharif,State10,276.78,1734.84,1855.75,475.06,28.44,2.69
Maize,2008,Rabi,State17,206.42,4834.88,395.98,478.82,38.1,28.38
Rice,2015,Zaid,State6,320.62,1600.14,940.49,419.49,37.94,42.16
Rice,2010,Zaid,State20,49.12,839.64,755.16,468.78,31.14,29.26
Wheat,2005,Rabi,State9,137.91,4148.12,1374.34,210.07,27.67,48.54
Sorghum,2010,Zaid,State18,11.76,5860.39,1935.02,269.28,15.88,44.33
Wheat,2005,Zaid,State16,401.14,2841.97,1695.13,316.74,28.02,33.67
Sorghum,2016,Whole Year,State9,405.68,5760.18,1898.32,337.04,25.35,46.46
Maize,2017,Kharif,State10,140.75,3168.13,455.55,466.54,38.18,31.67
Sorghum,2004,Kharif,State3,271.21,8982.45,1379.92,179.17,40.08,26.66
Sorghum,2010,Zaid,State4,376.49,5504.97,465.37,349.45,44.29,43.38
Rice,2015,Whole Year,State2,261.0,3251.71,531.49,245.52,8.76,48.03
Maize,2015,Zaid,State4,430.53,638.43,1290.61,59.94,35.64,14.33
Rice,2004,Kharif,State1,416.85,8525.57,1221.1,485.9,36.76,28.47
Sorghum,2019,Kharif,State11,397.71,188.82,1534.28,309.15,32.21,41.57
Rice,2014,Zaid,State5,137.19,3962.02,1365.25,193.44,8.99,21.09
Wheat,2015,Rabi,State3,317.97,7564.01,1437.58,195.82,11.36,47.85
Wheat,2002,Whole Year,State11,110.33,3361.57,1828.05,175.96,8.38,22.99
Maize,2012,Whole Year,State5,375.05,2699.85,617.45,330.67,49.96,10.89
Wheat,2019,Rabi,State12,249.92,1704.51,1039.27,375.04,13.35,19.97
Rice,2007,Whole Year,State9,51.92,2746.35,691.15,243.8,24.11,8.73
Rice,2005,Zaid,State18,125.82,9962.83,524.89,473.21,11.94,22.67
Sorghum,2013,Whole Year,State19,98.53,5412.26,1369.68,227.59,18.43,42.02
Wheat,2017,Kharif,State13,420.05,8599.76,1558.49,286.35,17.59,14.27
Barley,2010,Rabi,State2,57.47,4676.49,1133.36,429.31,14.95,2.21
Sorghum,2001,Rabi,State16,359.52,3740.28,1537.38,499.33,27.4,10.76
Sorghum,2007,Kharif,State10,294.28,9629.38,811.12,131.1,17.04,32.51
Barley,2020,Rabi,State8,65.84,8045.79,1427.56,122.89,34.96,21.8
Rice,2004,Kharif,State9,242.57,5549.07,906.08,181.67,38.49,22.08
Rice,2008,Kharif,State6,170.32,9138.8,1197.1,262.68,16.35,37.54
Rice,2016,Zaid,State9,344.65,9188.3,1111.67,92.41,30.62,5.59
Maize,2010,Kharif,State9,46.65,9170.03,1300.67,129.99,41.95,11.33
Wheat,2009,Whole Year,State16,161.22,7656.01,1005.95,274.11,16.57,35.44
Rice,2012,Zaid,State4,211.64,6943.16,984.16,169.1,33.41,43.15
Barley,2014,Zaid,State18,137.17,2424.12,1156.19,134.52,38.4,13.87
Maize,2011,Zaid,State7,359.46,8329.36,747.42,481.6,8.68,30.56
Wheat,2009,Rabi,State19,227.65,363.52,866.95,404.86,13.53,18.98
Wheat,2015,Zaid,State3,497.18,8515.23,1576.34,217.55,33.96,14.06
Rice,2005,Zaid,State13,211.05,5154.91,1004.94,230.13,21.38,15.39
Maize,2012,Kharif,State8,285.14,1045.77,405.21,270.89,49.57,32.68
Barley,2002,Zaid,State12,486.27,8921.91,1746.59,182.09,17.94,42.88
Sorghum,2004,Rabi,State3,118.2,6346.26,437.89,285.41,42.41,39.26
Rice,2007,Zaid,State7,416.12,1121.9,1589.26,305.51,40.5,4.56
Barley,2005,Rabi,State11,381.78,9387.17,447.59,243.75,14.18,13.72
Rice,2003,Rabi,State13,114.93,5867.26,1879.14,182.26,40.57,36.17
Wheat,2001,Zaid,State16,185.12,8154.41,1514.75,467.28,49.84,41.91
Wheat,2012,Rabi,State5,389.89,2492.85,372.32,289.57,13.72,46.89
Barley,2018,Whole Year,State5,225.15,1063.53,1403.46,259.68,32.53,8.76
Barley,2019,Whole Year,State19,82.06,9898.91,762.07,353.43,21.45,21.25
Wheat,2020,Rabi,State5,288.42,9444.83,1866.84,378.78,16.6,16.97
Maize,2020,Rabi,State17,86.71,6918.61,667.01,118.71,43.17,16.33
Rice,2008,Rabi,State20,58.96,6021.98,1311.93,54.1,20.93,11.26
Rice,2004,Kharif,State1,293.54,9199.15,1367.06,487.1,21.66,47.84
Sorghum,2003,Kharif,State18,350.11,4232.99,626.06,349.14,29.69,49.17
Sorghum,2000,Rabi,State20,113.11,6043.05,1324.64,472.23,16.61,49.62
Sorghum,2015,Rabi,State15,497.5,992.25,1311.71,157.19,35.1,17.99
Sorghum,2016,Zaid,State3,337.36,9245.74,1696.93,139.26,39.17,12.54
Rice,2007,Rabi,State19,344.73,5782.8,449.1,424.36,26.89,35.75
Rice,2008,Kharif,State13,455.28,7292.61,1764.83,345.31,40.21,10.06
Maize,2020,Rabi,State11,141.31,9250.44,1267.48,145.98,25.45,10.82
Sorghum,2002,Zaid,State11,280.37,1136.88,1803.23,211.7,10.95,6.81
Rice,2006,Kharif,State1,396.86,501.9,774.76,85.51,37.53,12.36
Maize,2008,Whole Year,State13,289.66,7008.14,926.95,51.98,17.12,40.09
Wheat,2010,Zaid,State10,301.64,3638.35,1881.87,275.36,31.66,47.69
Rice,2003,Rabi,State16,184.71,5710.16,1236.46,477.6,16.37,37.57
Wheat,2020,Rabi,State12,189.38,8596.22,662.02,137.55,29.25,13.59
Wheat,2009,Whole Year,State13,57.32,8090.72,775.65,457.48,11.97,10.98
Maize,2019,Kharif,State9,303.26,3618.08,382.15,97.4,36.04,21.15
Sorghum,2003,Zaid,State5,92.23,6677.01,755.94,74.78,9.42,35.22
Sorghum,2015,Kharif,State13,411.64,9136.65,807.08,321.75,40.72,7.91
Sorghum,2011,Kharif,State11,183.13,2757.84,910.87,64.99,11.9,8.13
Sorghum,2002,Rabi,State13,100.34,868.79,1292.35,59.88,39.51,43.48
Rice,2008,Zaid,State13,151.87,8085.8,1998.67,396.98,49.01,41.82
Wheat,2007,Kharif,State1,427.24,2379.17,1350.71,371.99,5.68,35.48
Barley,2001,Zaid,State5,424.45,5725.52,1069.72,454.53,45.5,7.08
Barley,2014,Zaid,State20,251.44,4504.12,1806.12,286.62,42.69,35.75
Sorghum,2003,Zaid,State8,359.02,744.63,706.65,446.62,44.69,30.74
Maize,2014,Kharif,State8,118.37,9429.24,870.66,359.6,29.53,33.22
Barley,2007,Kharif,State11,224.18,7133.73,931.7,202.53,27.75,25.49
Wheat,2001,Zaid,State6,441.89,874.54,661.66,382.42,42.22,2.13
Wheat,2001,Whole Year,State15,385.85,671.05,1358.53,338.46,6.08,31.11
Wheat,2001,Whole Year,State11,437.7,6869.7,1942.67,454.72,24.99,30.56
Rice,2020,Whole Year,State7,47.65,7221.91,519.81,54.79,13.59,45.4
Maize,2016,Kharif,State9,131.69,4089.65,1205.66,175.08,48.93,11.67
Barley,2006,Rabi,State17,330.42,7179.17,1488.02,176.19,37.47,41.76
Rice,2016,Whole Year,State5,185.16,8883.72,1371.86,253.76,12.81,7.8
Rice,2015,Whole Year,State16,127.16,1813.13,634.98,497.61,12.53,29.97
Rice,2017,Kharif,State10,414.31,1251.84,1594.13,269.57,35.7,32.07
Wheat,2020,Zaid,State18,135.24,7362.01,1562.64,255.63,30.75,40.41
Maize,2020,Rabi,State19,274.44,2714.9,817.93,478.82,10.93,44.19
Maize,2001,Zaid,State14,381.68,1209.56,773.39,470.97,33.19,21.73
Sorghum,2016,Whole Year,State6,149.68,9259.69,1639.27,189.11,30.19,12.8
Barley,2000,Kharif,State15,214.13,780.62,1095.76,321.86,36.81,35.54
Maize,2017,Kharif,State9,161.64,1547.37,1240.86,221.19,49.33,22.01
Wheat,2009,Rabi,State15,471.58,1158.69,1368.44,79.62,47.56,42.38
Maize,2019,Whole Year,State2,157.96,4359.84,422.83,123.25,45.52,8.52
Rice,2020,Whole Year,State13,497.25,7558.67,426.34,307.93,37.65,20.14
Maize,2013,Kharif,State20,465.84,4639.45,465.32,418.01,15.85,21.89
Sorghum,2000,Rabi,State12,375.55,4391.34,980.24,417.42,10.86,40.65
Maize,2018,Zaid,State16,251.26,2974.11,1540.1,364.84,49.59,14.27
Barley,2001,Rabi,State18,360.88,3719.7,1138.15,113.75,43.65,3.86
Sorghum,2018,Zaid,State13,454.56,4973.19,1267.87,441.15,41.14,44.21
Maize,2001,Whole Year,State1,465.19,4168.1,888.59,86.35,19.24,30.96
Sorghum,2019,Rabi,State16,311.79,1313.45,370.42,444.22,6.17,27.35
Barley,2005,Whole Year,State10,155.21,152.18,1952.89,149.73,36.74,49.82
Barley,2010,Rabi,State20,355.39,8599.28,718.91,168.61,12.95,18.31
Barley,2001,Zaid,State2,433.8,9941.19,1788.91,277.23,22.81,10.22
Barley,2009,Rabi,State19,102.33,8827.81,989.68,72.05,47.4,48.39
Rice,2003,Rabi,State12,236.91,7587.97,761.65,397.2,40.19,49.23
Sorghum,2007,Whole Year,State6,173.26,4123.77,776.37,76.11,31.27,17.4
Maize,2000,Whole Year,State1,217.36,357.56,1441.51,270.53,30.77,11.29
Wheat,2004,Zaid,State11,188.07,1711.66,499.29,145.27,34.62,41.66
Wheat,2018,Zaid,State15,351.65,9520.63,1433.8,150.28,16.1,14.06
Maize,2020,Kharif,State20,362.78,2724.69,1307.46,389.05,34.86,36.22
Rice,2011,Zaid,State12,249.08,7822.27,1997.55,66.78,21.67,31.58
Wheat,2005,Zaid,State1,94.9,390.63,1092.33,223.83,19.96,28.63
Barley,2009,Kharif,State18,348.23,138.97,531.47,439.26,33.26,35.8
Rice,2004,Rabi,State9,365.34,2914.26,535.59,257.6,26.9,49.76
Rice,2014,Rabi,State9,96.4,9191.33,1576.93,388.22,15.52,20.01
